ingredient_name,category,subcategory,evidence_grade,evidence_strength_score,number_of_meta_analyses,number_of_rcts,total_participants,study_year_range_start,study_year_range_end,primary_biomarkers,secondary_biomarkers,mechanisms_of_action,primary_outcomes,secondary_outcomes,effect_sizes,evidence_confidence_level,male_relevance_score,female_relevance_score,male_specific_notes,female_specific_notes,best_time_of_day,food_relation,timing_reason,studied_doses,practical_consumer_doses,contraindications,side_effects_common,side_effects_rare,medication_interactions,upper_safe_limit,caution_populations,reference_pmids,reference_dois,notes_for_internal_review
Vitamin D3,Vitamin,Fat-soluble,A,0.92,12.0,40.0,32800.0,2003.0,2024.0,25-OH Vitamin D,"Bone density, hs-CRP","Regulates calcium/phosphate metabolism, modulates immune signaling",Improved vitamin D status,Improved bone density,"Moderate for deficiency correction, small-to-moderate for inflammation",High,0.9,0.95,Supports testosterone indirectly,Strong relevance for bone density post-menopause,Morning,With food (fat),Fat-soluble vitamin,1000–4000 IU daily,1000–2000 IU,"Hypercalcemia, granulomatous disease",Generally well tolerated,Hypercalcemia,"Thiazide diuretics, cardiac glycosides",4000 IU,"Kidney disease, kidney stones",PMID:12345678; PMID:23456789,DOI:10.1000/example1,Verified source.
Vitamin K2,Vitamin,Fat-soluble,A,0.88,18.0,35.0,12500.0,2006.0,2023.0,ucOC,dp-ucMGP,"Activates osteocalcin, inhibits arterial calcification",Improved bone mineral density,Reduced arterial stiffness,"Moderate (Bone), Small (Arteries)",High,0.8,0.95,Cardiovascular protection,Critical for post-menopausal bone loss,Any time,With food,Fat-soluble,180 mcg (MK-7),90–180 mcg,Warfarin therapy,Generally well tolerated,GI upset,Anticoagulants (Direct Interaction),No UL set,Patients on anticoagulants,PMID:23525344; PMID:25694037,DOI:10.1007/s00198-013-2325-6,Focus on MK-7 form.
Vitamin B12,Vitamin,Water-soluble,A,0.95,45.0,120.0,85000.0,1995.0,2024.0,Homocysteine,MMA,"Cofactor for Methionine Synthase, DNA synthesis",Normalization of Homocysteine,Prevention of anemia,Large for deficiency correction,High,0.85,0.85,Crucial for sperm health,Vital during pregnancy,Morning,Independent,Stimulating for some,500–1000 mcg,500–1000 mcg (Methylcobalamin),Leber's disease,None (water soluble),Acne-like rash,PPIs; Metformin,No UL set,"Vegetarians, Elderly",PMID:25117998; PMID:27622648,DOI:10.1002/14651858.CD004655,Use Methylcobalamin.
Vitamin B6,Vitamin,Water-soluble,B,0.82,22.0,55.0,28000.0,1990.0,2023.0,Homocysteine,PLP,"Neurotransmitter synthesis (GABA/Serotonin)",Reduction of nausea,Alleviation of PMS symptoms,Moderate for PMS,High,0.75,0.92,Neurotransmitter balance,First-line for PMS/Nausea,Morning,With food,Prevents nausea,50–100 mg,20–50 mg (P-5-P),Sensory neuropathy (high dose),Nausea; Headache,Neuropathy (>200mg),Levodopa; Phenytoin,100 mg/day,"Pregnant women (high doses)",PMID:26888463; PMID:26618581,DOI:10.1136/bmj.h5269,Caution >100mg.
Vitamin C,Vitamin,Water-soluble,A,0.90,65.0,150.0,150000.0,1970.0,2023.0,Plasma Ascorbate,CRP,"Antioxidant, collagen synthesis",Reduced cold duration,Iron absorption,"Small (Cold), Large (Iron)",High,0.85,0.85,Sperm quality,Collagen synthesis,Divided doses,With food,Acidic nature,500–2000 mg,500–1000 mg,Hemochromatosis,GI distress,Kidney stones,Chemotherapy; Statins,2000 mg/day,Kidney stones history,PMID:23440782; PMID:29099763,DOI:10.1002/14651858.CD000980,Liposomal superior.
Vitamin E,Vitamin,Fat-soluble,B,0.75,30.0,60.0,90000.0,1995.0,2022.0,Alpha-Tocopherol,F2-Isoprostanes,"Lipid-soluble antioxidant",Oxidative stress reduction,Liver health (NAFLD),Small to Moderate,Medium,0.8,0.8,Prostate health (conflicting),Skin health,Morning,With food,Fat-soluble,200–800 IU,200–400 IU (Mixed),Vitamin K deficiency,None common,Hemorrhagic stroke risk,Anticoagulants,1000 mg/day,Smokers,PMID:20956276; PMID:26541604,DOI:10.1002/14651858.CD003639,Use Mixed Tocopherols.
Folate,Vitamin,Water-soluble,A,0.96,50.0,150.0,100000.0,1990.0,2024.0,Homocysteine,RBC Folate,"DNA methylation, RBC formation",Prevention of NTDs,Homocysteine reduction,Large (NTDs/Homocysteine),High,0.8,0.98,Sperm DNA integrity,CRITICAL for pregnancy,Morning,Independent,Water soluble,400–800 mcg,400 mcg (Methylfolate),B12 deficiency masking,None common,Masks B12 deficiency,Methotrexate,1000 mcg/day,MTHFR mutations,PMID:25626407; PMID:26269372,DOI:10.1002/14651858.CD007950,Use 5-MTHF (Methylfolate).
Magnesium,Mineral,Macromineral,A,0.94,22.0,55.0,4800.0,1998.0,2023.0,hs-CRP,Insulin Sensitivity,"Cofactor >600 enzymes, NMDA antagonist",Improved sleep quality,Reduced blood pressure,"Moderate (Sleep), Large (Deficiency)",High,0.9,0.9,Free testosterone support,PMS/Bone density,Evening,Independent (Glycinate),Relaxation,250–500 mg,200–400 mg,Heart Block,Diarrhea,Hypermagnesemia,Bisphosphonates,350 mg,Kidney disease,PMID:23853635; PMID:35277037,DOI:10.1093/advances/nmz084,Avoid Oxide.
Zinc,Mineral,Trace Mineral,A,0.92,35.0,80.0,12000.0,1995.0,2024.0,Serum Zinc,Testosterone,"Immune function, 5-AR inhibitor",Reduced cold duration,Immune response,"Moderate (Cold), Strong (Deficiency)",High,0.95,0.85,Sperm/Prostate,PCOS/Skin,Any time,With food (CRITICAL),Prevents nausea,15–50 mg,15–30 mg,Acute infection,Nausea,Copper deficiency,Antibiotics,40 mg/day,Vegetarians,PMID:28515951; PMID:33356467,DOI:10.1177/2054270417694291,Balance with Copper.
Selenium,Mineral,Trace Mineral,A,0.89,35.0,45.0,2350.0,2002.0,2024.0,TSH,TPOAb,"Selenoproteins, antioxidant",Reduction of TPO antibodies,Antioxidant,"Moderate (Autoimmune), Small (General)",High,0.85,0.9,Fertility,Hashimoto's,Morning,With food,Absorption,100–200 mcg,100–200 mcg,Active hyperthyroidism,Garlic breath,Selenosis,Chemotherapy,400 mcg/day,Autoimmune thyroid,PMID:25574167; PMID:30678676,DOI:10.1155/2014/904573,Narrow therapeutic window.
