Ingredient_Name,Category,Biomarker_Targets,Direction,Gender_Relevance,Evidence_Level,Study_References,Study_Design,Study_Notes,Clinical_Case_Notes,Drug_Interactions,Contraindicated_For,Timing_Recommendation,Product_Name_Supliful,Product_URL_Supliful,Goal_1,Goal_2,Goal_3,OS_Module_1,OS_Module_2,OS_Module_3,Synergistic_With,Antagonistic_With,Contraindicated_With
Vitamin D3,Vitamin,"25-OH Vitamin D, hs-CRP",↑,Both,A,PMID:30415629,RCT (n=25871, 5y),"VITAL Study: Confirmed safety and fracture prevention","Effective in raising serum levels in 97% of participants","Steroids, Orlistat, Thiazides","Hypercalcemia, Sarcoidosis","Morning, with food","Vitamin D3 2,000 IU",https://supliful.com/catalog/vitamin-d3-2000iu-softgel-capsules,Immune Resilience,Hormonal Balance,Cardiovascular Health,Inflammation Modulation OS,Thyroid Support OS,Androgen Support OS,"[Magnesium (always)], [Vitamin K2 (always)]","[Vitamin A (conditional)]","[Calcium (conditional)]"
Magnesium,Mineral,"hs-CRP, Insulin Sensitivity",↓,Both,A,PMID:23853635,Meta-Analysis (n=889),"Reduced inflammatory markers and improved sleep latency","Subjective sleep quality improved by 40% in elderly","Antibiotics (Quinolones), Bisphosphonates","Kidney Failure, Heart Block","Evening","Magnesium Glycinate",https://supliful.com/catalog/magnesium-glycinate-capsules,Sleep Optimization,Stress & Mood,Recovery & Performance,Adrenal Reset OS,Neuroprotective OS,Insulin Sensitivity OS,"[Vitamin D3 (always)], [Zinc (conditional)]","[Calcium (conditional - absorption competition)]","[Antibiotics (conditional)]"
Ashwagandha,Herb,"Cortisol, Free Testosterone",↓ (Cortisol),Both,A,PMID:23439798,RCT (n=64),"Reduced serum cortisol by 27.9%; increased T in men","Significant reduction in perceived stress scale scores","Thyroid meds, Benzodiazepines","Hyperthyroidism, Autoimmune conditions","Evening / Post-workout","Ashwagandha",https://supliful.com/catalog/ashwagandha-capsules,Stress & Mood,Hormonal Balance,Recovery & Performance,Adrenal Reset OS,Androgen Support OS,Thyroid Support OS,"[Rhodiola (conditional)], [Zinc (conditional)]",,"[Thyroid Medication (contraindicated)]"
Probiotics,Probiotic,"Microbiome Diversity",↑,Both,A,PMID:22566685,Meta-Analysis (n=11811),"Reduced risk of antibiotic-associated diarrhea","Improved IBS symptom score significantly","Antibiotics (spacing required)","Immunocompromised patients, Sepsis risk","Morning, empty stomach","Probiotic 40 Billion with Prebiotics",https://supliful.com/catalog/probiotic-40-billion-prebiotics-capsules,Indigestion & Bloating,Immune Resilience,Metabolic Health,Gut-Brain Axis OS,Inflammation Modulation OS,,"[Prebiotics (always)], [Glutamine (conditional)]","[Antibiotics (conditional - timing)]",
Turmeric (Curcumin),Herb,"hs-CRP, WOMAC Pain",↓,Both,A,PMID:21194249,RCT (n=50),"Reduced joint pain scores by 58%","Comparable pain relief to NSAIDs for OA","Warfarin, Antiplatelets","Gallstones, Bile Duct Obstruction","Any time, with food","Platinum Turmeric",https://supliful.com/catalog/platinum-turmeric-capsules,Inflammation Control,Recovery & Performance,Cardiovascular Health,Inflammation Modulation OS,Anabolic Recovery OS,Liver Support OS,"[Piperine (always)], [Omega-3 (conditional)]",,"[Blood Thinners (conditional)]"
CoQ10,Compound,"CoQ10, Ejection Fraction",↑,Both,A,PMID:25282031,RCT (n=420),"Reduced cardiovascular mortality in heart failure","Reduced statin-induced muscle pain by 40%","Warfarin, Statins (depletes CoQ10)","Surgery (bleeding risk)","Morning, with fat","CoQ10 Ubiquinone",https://supliful.com/catalog/coq10-ubiquinone-capsules,Cardiovascular Health,Energy & Focus,Fertility & Libido,Mitochondrial Optimization OS,Cardiovascular Health,Skin Repair OS,"[PQQ (conditional)], [Selenium (conditional)]",,"[Warfarin (conditional)]"
Creatine Monohydrate,Amino Acid,"Creatine Kinase, Lean Mass",↑,Both,A,PMID:28615996,Review (>200 RCTs),"Safest ergogenic aid; increases strength/power","Improved cognitive processing in fatigue states","Nephrotoxic drugs (caution)","Pre-existing Kidney Disease","Post-workout / Morning","Creatine Monohydrate",https://supliful.com/catalog/creatine-monohydrate-powder,Recovery & Performance,Cognitive Support,Anti-Aging / Longevity,Anabolic Recovery OS,Neuroprotective OS,Mitochondrial Optimization OS,"[Beta-Alanine (conditional)], [Carbohydrates (conditional)]",,"[Diuretics (conditional)]"
Collagen Peptides,Protein,"Skin Elasticity, Joint Pain",↑,Both,A,PMID:24401291,RCT (n=114),"Reduced eye wrinkle volume by 20%","Improved joint functionality in athletes","None specific","Fish/Beef Allergy","Any time","Grass-Fed Hydrolyzed Collagen Peptides",https://supliful.com/catalog/grass-fed-hydrolyzed-collagen-peptides-powder,Skin & Hair,Recovery & Performance,Anti-Aging / Longevity,Skin Repair OS,Anabolic Recovery OS,,"[Vitamin C (always)], [Hyaluronic Acid (conditional)]",,
Berberine,Compound,"HbA1c, LDL-C",↓,Both,A,PMID:23118793,Meta-Analysis (n=1068),"Efficacy comparable to Metformin for glucose","Significant reduction in triglycerides","Metformin, Macrolides","Pregnancy, Nursing","Before carb-heavy meals","Berberine",https://supliful.com/catalog/berberine-capsules,Metabolic Health,Cardiovascular Health,Anti-Aging / Longevity,Insulin Sensitivity OS,Liver Support OS,Mitochondrial Optimization OS,"[Milk Thistle (conditional)], [Inositol (conditional)]",,"[Pregnancy (contraindicated)]"
Lion's Mane,Fungus,"NGF, Cognitive Score",↑,Both,B,PMID:18844328,RCT (n=30),"Improved scores in mild cognitive impairment","Nerve regeneration support noted in pre-clinical","Antidiabetics","Mushroom Allergy","Morning","Lion's Mane Mushroom",https://supliful.com/catalog/lions-mane-mushroom-capsules,Cognitive Support,Stress & Mood,Recovery & Performance,Neuroprotective OS,Gut-Brain Axis OS,,"[Niacin (conditional)], [Psilocybin (experimental)]",,
L-Glutamine,Amino Acid,"Intestinal Permeability",↓,Both,B,PMID:29709232,Meta-Analysis (n=500+),"Improved gut barrier integrity (Leaky Gut)","Reduced muscle soreness post-exercise","Lactulose","Liver Cirrhosis, Seizures","Empty stomach (Gut)","L-Glutamine Powder",https://supliful.com/catalog/l-glutamine-powder,Recovery & Performance,Immune Resilience,Detoxification,Gut-Brain Axis OS,Anabolic Recovery OS,,"[Probiotics (conditional)], [Zinc Carnosine (conditional)]",,
Beetroot,Vegetable,"Nitric Oxide, BP",↑,Both,B,PMID:23596162,Meta-Analysis,"Improved endurance performance and blood flow","Reduced systolic BP by ~4mmHg","PDE5 Inhibitors","Hypotension, Kidney Stones (Oxalates)","Pre-workout","Beetroot",https://supliful.com/catalog/beetroot-capsules,Cardiovascular Health,Recovery & Performance,Energy & Focus,Mitochondrial Optimization OS,Anabolic Recovery OS,,"[Citrulline (conditional)], [Arginine (conditional)]","[Mouthwash (antagonistic - kills oral bacteria)]",
Ginkgo Biloba,Herb,"Cerebral Blood Flow",↑,Both,A,PMID:23076136,Meta-Analysis (n=28000),"Inconsistent for dementia prevention; good for flow","Reversed SSRI-induced sexual dysfunction in pilot","Warfarin, Aspirin, NSAIDs","Bleeding disorders, Epilepsy","Morning","Ginkgo Biloba + Ginseng",https://supliful.com/catalog/ginkgo-biloba-ginseng-capsules,Cognitive Support,Cardiovascular Health,Fertility & Libido,Neuroprotective OS,Mitochondrial Optimization OS,,"[Ginseng (synergistic)], [Phosphatidylserine (conditional)]",,"[Blood Thinners (contraindicated)]"
Maca Root,Herb,"Libido Scores",↑,Both,B,PMID:20691074,Systematic Review,"Improved sexual desire independent of testosterone","Improved mood in post-menopausal women","None significant","Thyroid Conditions (Goitrogens)","Morning","Maca Plus",https://supliful.com/catalog/maca-plus-capsules,Fertility & Libido,Energy & Focus,Hormonal Balance,Adrenal Reset OS,Androgen Support OS,,"[Fenugreek (conditional)], [Zinc (conditional)]",,
Resveratrol,Compound,"Fasting Glucose, FMD",↓,Both,B,PMID:22055504,RCT (n=11),"Mimicked calorie restriction metabolic effects","Improved cerebral blood flow","Blood thinners, CYP3A4 substrates","Estrogen-sensitive cancers","Morning","Resveratrol 50% 600mg",https://supliful.com/catalog/resveratrol-50-percent-capsules,Anti-Aging / Longevity,Metabolic Health,Cardiovascular Health,Mitochondrial Optimization OS,Insulin Sensitivity OS,,"[NMN/NR (conditional)], [Quercetin (conditional)]","[Exercise (antagonistic - blunts adaptation?)]",
5-HTP,Amino Acid,"Serotonin Levels",↑,Both,B,PMID:24682001,Review,"Improved sleep latency and mood scores","Reduced carbohydrate cravings","SSRIs, MAOIs, Tramadol","Serotonin Syndrome risk","Evening","5-HTP",https://supliful.com/catalog/5-htp-capsules,Sleep Optimization,Stress & Mood,Metabolic Health,Gut-Brain Axis OS,Neuroprotective OS,,"[GABA (conditional)], [Melatonin (conditional)]",,"[SSRIs (contraindicated)]"
Apple Cider Vinegar,Food,"Post-prandial Glucose",↓,Both,B,PMID:28292654,RCT,"Reduced glucose spike after carb-heavy meal","Modest weight management support","Diuretics, Insulin","Gastroparesis, Erosion (liquid)","Before meals","Apple Cider Vinegar Capsules",https://supliful.com/catalog/apple-cider-vinegar-capsules,Metabolic Health,Detoxification,Digestion,Insulin Sensitivity OS,Liver Support OS,,"[Berberine (conditional)]",,
