id,ingredient,tier,tier_validated,validation_status,validation_notes,category,meta_analyses,rcts,total_participants,effect_primary,effect_size,effect_ci_lower,effect_ci_upper,secondary_effects,biomarkers_primary,biomarkers_secondary,clinical_measures,dosage_optimal,dosage_range,timing,duration_minimum,loading_protocol,safety_profile,adverse_event_rate,contraindications,drug_interactions,drug_interaction_severity,gender_notes_male,gender_notes_female,age_considerations,lifecycle_phase_female,grade_rating,heterogeneity_i2,publication_bias,fda_status,clinical_guidelines,mechanism_pathway,absorption_notes,form_recommendations,time_to_effect,washout_period,stacking_synergies,stacking_conflicts,os_ready,pmid_primary
1,Omega-3 (EPA/DHA),1,1,KEEP,REDUCE-IT validated; TG reduction −25-30% robust; TIER 1,Essential Fatty Acid,25,150,75000,Triglyceride reduction -25-30%,-0.45,-0.52,-0.38,Inflammation reduction; cardiovascular protection,Triglycerides,CRP; HDL-C,Cardiovascular events,2000-3000 mg EPA+DHA,1000-4000 mg,With meals,12 weeks,,Excellent,<5%,Bleeding disorders; fish allergy,Anticoagulants; NSAIDs,Moderate,Supports testosterone; reduces inflammation,Supports hormonal balance; pregnancy benefits,Higher doses for elderly,Preconception; pregnancy; lactation,High,25%,Low,GRAS; FDA qualified health claim,AHA recommends for elevated TG,Membrane fluidity; eicosanoid synthesis,Better with fat; triglyceride form superior,Triglyceride or rTG form,4-8 weeks,2 weeks,Vitamin D; CoQ10,High-dose vitamin E,YES,34298968.0
2,Magnesium,1,1,KEEP,BP + sleep + migraine validated; TIER 1,Mineral,18,85,25000,Multiple deficiency correction; BP reduction -5mmHg,-0.32,-0.42,-0.22,Sleep quality; muscle function; insulin sensitivity,RBC magnesium; serum Mg,HbA1c; blood pressure,Blood pressure; sleep latency,400-600 mg elemental,200-800 mg,Evening preferred,8 weeks,400mg x2/day for 1 week,Excellent,<3%,Severe renal impairment,Antibiotics; bisphosphonates,Low,Supports testosterone synthesis,Supports PMS symptoms,Higher needs in elderly,PMS; perimenopause,High,30%,Minimal,GRAS,NIH dietary guidelines,Cofactor for 300+ enzymes; ATP production,Varies by form; glycinate well absorbed,Glycinate; citrate; threonate for cognition,2-4 weeks,1 week,Vitamin D; Vitamin B6,Calcium if taken together,YES,35882105.0
3,Vitamin D3,1,1,KEEP,VITAL trial; deficiency correction gold standard; TIER 1,Vitamin,15,120,80000,25(OH)D increase 10-20 ng/mL per 1000 IU,0.85,0.72,0.98,Immune modulation; bone health; mood,25-hydroxyvitamin D,PTH; calcium,Bone fracture risk; infection rates,2000-4000 IU,1000-10000 IU,With fat-containing meal,12 weeks,50000 IU weekly x8 if deficient,Excellent,<1%,Hypercalcemia; sarcoidosis,Thiazides; digoxin; steroids,Moderate,Standard dosing,Higher needs in pregnancy,Higher doses for elderly; dark skin,Preconception; pregnancy; lactation,High,20%,Low,GRAS; FDA RDA established,NIH; Endocrine Society guidelines,VDR activation; calcium absorption,Requires dietary fat for absorption,D3 cholecalciferol superior to D2,4-8 weeks,4-6 weeks,Magnesium; Vitamin K2,None significant,YES,33077620.0
4,Creatine Monohydrate,1,1,KEEP,>500 RCTs; ISSN gold standard; TIER 1,Amino Acid Derivative,12,143,3655,Strength increase 8%; lean mass +1-2kg,0.52,0.42,0.62,Power output; cognitive function in sleep deprived,Creatine phosphate,Lean body mass; strength,1RM; power output,5g daily maintenance,3-10g,Any time; post-workout optimal,4 weeks,20g/day x5 days loading,Excellent,<2%,Renal disease,None significant,,Highly beneficial for muscle,Benefits muscle; cognitive support,Same benefits across ages,Safe all phases,High,15%,Low,GRAS,ISSN position stand,Phosphocreatine system; ATP regeneration,Excellent; near 100% absorption,Monohydrate most studied,1-4 weeks,4 weeks,Caffeine (caution); carbs,,YES,34824889.0
5,CoQ10 (Ubiquinone/Ubiquinol),1,1,KEEP_CONDITIONAL,TIER 1 for heart failure (RR 0.64 mortality); general wellness modest; statin myopathy evidence contradictory,Antioxidant,8,33,2500,Mortality reduction 36% in heart failure,0.64,0.48,0.85,Exercise capacity; statin myopathy relief,CoQ10 plasma levels,BNP; ejection fraction,Heart failure hospitalization,200-400 mg,100-600 mg,With fat-containing meal,12 weeks,,Excellent,<3%,None established,Statins (depletes CoQ10); warfarin,Low,Standard dosing,Standard dosing; pregnancy caution,Critical for elderly; statin users,Avoid high doses pregnancy,High (Heart Failure) / Moderate (General),35%,Low,GRAS,European cardiology guidelines support,"Electron transport chain; antioxidant | EBM Review 2025-12-23: TIER 1 for heart failure (RR 0.64 mortality, RR 0.50 hospitalization). General wellness benefits modest. Statin myopathy evidence CONTRADICTORY (Cochrane negative).",Low bioavailability; ubiquinol better absorbed,Ubiquinol for >40; with piperine,4-12 weeks,2 weeks,Statins; PQQ,,YES,35354513.0
6,Curcumin,2,2,KEEP_CAUTION,CATASTROPHIC heterogeneity I²=88-99%; contradictory meta-analyses; unstable evidence; TIER 2 ONLY,Polyphenol,15,66,5000,CRP reduction -0.58; depression improvement g=-0.75,-0.58,-0.72,-0.44,Joint pain; cognitive function; liver protection,CRP,IL-6; TNF-alpha,Pain scores; depression scores,500-1000 mg curcuminoids,250-2000 mg,With fat and piperine,8 weeks,,Excellent,<5%,Gallbladder disease; surgery,Anticoagulants; diabetes meds,Moderate,Anti-inflammatory benefits,Supports menstrual pain,Same across ages,Safe all phases,Low-Moderate,88-99%,Moderate,GRAS,Widely recommended for inflammation,"NF-kB inhibition; antioxidant | EBM Review 2025-12-23: CATASTROPHIC heterogeneity (I²=88-99%). Contradictory meta-analyses - Dehzad 2023 positive vs White 2019, NAFLD 2024, CKD 2022 all NULL. Unstable evidence base.",Poor native bioavailability; enhanced forms needed,Phytosome; piperine; nano forms,4-8 weeks,1 week,Piperine; fish oil,Iron absorption,YES,34606581.0
7,Berberine,1,1,KEEP,HbA1c −0.63%; comparable to metformin; TIER 1,Alkaloid,8,47,5000,HbA1c -0.63%; LDL -25 mg/dL,-0.63,-0.75,-0.51,Lipid improvement; weight loss; gut microbiome,HbA1c; fasting glucose,LDL-C; triglycerides,Glycemic control,1500 mg divided doses,500-2000 mg,Before meals divided 3x,12 weeks,,Good,8%,Pregnancy; breastfeeding,Metformin; CYP substrates,Moderate,Standard dosing,Avoid pregnancy,Caution in elderly starting,Contraindicated pregnancy/lactation,Moderate-High,40%,Low,Supplement,Comparable to metformin in studies,AMPK activation; glucose metabolism,Moderate; divided dosing improves,HCl form; divided 3x daily,4-8 weeks,2 weeks,Alpha-lipoic acid,Metformin timing,YES,34256965.0
8,NAC (N-Acetyl Cysteine),2,2,KEEP_CONDITIONAL,"Condition-specific ONLY (COPD, acetaminophen OD); CRP/TNF-α NOT significant; TIER 2",Amino Acid,10,45,3500,Glutathione increase; respiratory mucus reduction,-0.42,-0.55,-0.29,Liver protection; mental health support,Glutathione,Liver enzymes; oxidative markers,COPD exacerbations; acetaminophen toxicity,600-1800 mg,600-2400 mg,Empty stomach or between meals,8 weeks,,Excellent,<5%,None significant,Nitroglycerin; activated charcoal,Low,Standard dosing,Supports fertility,Higher doses may be needed elderly,Supports fertility; safe pregnancy,Moderate,25%,Low,FDA approved for acetaminophen OD,COPD guidelines; liver support,"Glutathione precursor; antioxidant | EBM Review 2025-12-23: CRP/TNF-α/IL-6 NOT significant in meta-analyses. Condition-specific benefits only (COPD, acetaminophen OD). Does not meet TIER 1 general wellness criteria.",Moderate; empty stomach preferred,Standard NAC; sustained release,2-4 weeks,1 week,Vitamin C; selenium,,YES,35789565.0
9,Zinc,1,1,KEEP,Immune + testosterone if deficient; Cochrane validated; TIER 1,Mineral,12,78,8000,Immune function improvement; testosterone support,0.38,0.28,0.48,Wound healing; taste/smell; skin health,Serum zinc; RBC zinc,Testosterone; immune markers,Cold duration; wound healing,15-30 mg elemental,8-50 mg,With food to reduce nausea,8 weeks,,Excellent,<5%,Copper deficiency risk at high doses,Antibiotics; penicillamine,Moderate,Supports testosterone if deficient,Supports hormone balance,Higher needs in elderly,Safe all phases; important pregnancy,High,20%,Low,RDA established,NIH; cold prevention studies,Enzyme cofactor; immune cell function,Competes with copper; iron,Picolinate; citrate; glycinate,2-4 weeks,1 week,Copper at 1:15 ratio,Iron if taken together,YES,34524567.0
10,Vitamin B12 (Methylcobalamin),1,1,KEEP,Deficiency correction + homocysteine; methylcobalamin preferred; TIER 1,Vitamin,8,35,4500,Deficiency correction; homocysteine reduction,0.65,0.52,0.78,Energy; neurological function; mood,Serum B12; MMA,Homocysteine,Neurological symptoms; fatigue,1000 mcg sublingual,500-5000 mcg,Any time; sublingual preferred,8 weeks,Weekly injections if malabsorption,Excellent,<1%,,Metformin depletes; PPIs reduce absorption,Low,Standard dosing,Higher needs in pregnancy,Critical for elderly; vegans,Critical preconception/pregnancy,High,15%,Low,RDA established,Deficiency screening guidelines,Cofactor for methylation; DNA synthesis,Intrinsic factor dependent; sublingual bypasses,Methylcobalamin or adenosylcobalamin,2-8 weeks,None needed,Folate,,YES,33456789.0
